temperature,co2,surface_albedo,atm_thickness,cloud,state,delta_energy,equilibrium_temperature,albedo,greenhouse_strength
221.76916113170358,561.168,0.38850000000000007,0.992,0.69,4,6.268165679038386,237.14536472973737,0.7334999999999999,0.4605503576964485
359.5357539973117,806.1120000000001,0.148,1.488,0.07,3,4.12468910025396,364.222455685533,0.183,0.7027872465474179
288.88461809002865,852.768,0.3015,0.768,0.31,2,-0.5797421884290657,288.1193424903021,0.4565,0.4950804974485776
268.5512729059982,1027.728,0.252,0.56,0.99,0,-10.643693224971823,245.98106119678468,0.747,0.557588817940762
225.97361468350516,946.0799999999999,0.35050000000000003,0.752,0.43,4,24.670545234709863,278.6983728292536,0.5655,0.5389327174566122
258.9828189507799,397.872,0.525,1.552,0.29,1,-2.6608732055564275,254.01036899257008,0.67,0.49251826535731213
289.4396558629585,642.8160000000001,0.48750000000000004,1.392,0.05,2,3.3141462945989133,294.57915700991396,0.5125000000000001,0.5855436316114861
211.3590170192185,211.248,0.509,1.008,0.5,1,-4.118026701383059,203.18581303677675,0.759,0.09477659257253668
282.9292111851992,829.44,0.4385,0.896,0.15,2,-0.007012974058604016,282.91901593096463,0.5135000000000001,0.5138765777366079
151.61323676445426,129.6,0.4764999999999999,1.1360000000000001,0.47,4,20.59653677050422,207.30726340709893,0.7114999999999999,0.0
394.92591722761944,1167.696,0.4265,1.7120000000000002,0.22,0,-29.644170742649003,349.0060857900192,0.5365,0.8
316.8866725146437,386.2080000000001,0.36150000000000004,1.968,0.06,3,-1.4624088681167535,315.0108298017552,0.39150000000000007,0.6043866841303078
338.51147905760934,409.536,0.17800000000000002,1.968,0.5,0,-10.579846816910504,324.4496140044929,0.428,0.669539741059043
265.4054351004216,1261.008,0.377,0.656,0.7,1,-0.9140800531858666,263.22916159208836,0.727,0.6359685527100452
319.911038311058,1074.384,0.535,1.536,0.3,3,-1.221608173908848,316.8824621625427,0.685,0.8
262.6587547129472,537.8399999999999,0.10300000000000001,1.44,0.9,4,16.67441791013872,295.1753597938396,0.553,0.623036435573339
296.43935570599444,1039.392,0.31700000000000006,1.552,0.94,3,-2.824658874449206,287.3528218098979,0.787,0.8
324.3475563706688,386.2080000000001,0.14949999999999997,1.984,0.59,3,-2.7109181794495143,320.5068493198218,0.44449999999999995,0.6629866841303078
335.27216649013565,852.768,0.151,1.7600000000000002,0.89,3,0.9263085928882262,337.22200536330456,0.596,0.8
293.22617417047366,1016.064,0.192,1.088,0.95,2,2.6143043697304087,299.28144987512223,0.6669999999999999,0.7342720150435693
